dealid,deal_url,reviewid,review_rating,reviewer,purchaser_type,review_date,review_text,review_text_length,feature_sentiment_annotated
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,1,5,linda,Verified Purchaser,5/12/2018,I love pockets and I love purple haven't had the chance to wear it but it's in my closet and I can't wait to wear it.,117,"[(pockets, love, pos), (purple, love, pos)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,2,2,theresa,Verified Purchaser,5/14/2018,Runs very small and the top half is short.,42,
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,3,3,Monika,Verified Purchaser,5/18/2018,Liked the dress itself but It was too short for me. I am 5'7 and expected it to be super long like in the picture and it was not. It was just ankle length and that was not what I wanted,185,"[(dress, liked, pos)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,4,5,Celeste,Verified Purchaser,5/18/2018,I love the way it fit and I love the pockets.,45,"[(fit, love, pos), (pockets, love, pos)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,5,2,Anissa,Verified Purchaser,5/18/2018,Too small around the chest area,31,
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,6,5,Tonya,Verified Purchaser,5/20/2018,Love this dress I’ve gotten so many compliments on it!! Thanks,62,"[(dress, love, pos)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,7,5,Danielle,Verified Purchaser,5/20/2018,"Super cute, I tied a knot in the bottom and loved it!",53,
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,8,5,Diana,Verified Purchaser,5/20/2018,True to size. Beautiful color. It’s very comfortable and flattering.,68,"[(color, beautiful, pos)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,9,3,Maria,Verified Purchaser,5/20/2018,"This dress is cute.. fit good, my only complaint is the length.. it looks long in the picture ,but it is above my ankles , and I'm 5'5.",135,"[(dress, cute, pos), (fit, good, pos), (length, complaint, neg)]"
9337,https://www.groupon.com/deals/gg-cm-womens-strapless-ruched-maxi-dress-with-pockets,10,5,THE,Verified Purchaser,5/21/2018,Very pretty!! Fits well...Very comfortable,42,"[(fits, well, pos)]"
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,1,5,Doris,Verified Purchaser,5/11/2018,"I think they are absolutely gorgeous. I am wearing them as I type. I love the look of them but I thought they would be a bit longer. Other than that, I am a very satisfied customer.",181,"[(look, love, pos)]"
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,2,5,Julie,Verified Purchaser,5/11/2018,Sparkly and fun!!,17,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,3,3,Deborah,Verified Purchaser,5/11/2018,To small thought they were larger,33,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,4,3,judy,Verified Purchaser,5/12/2018,I was hoping for an easier catch on the earrings,48,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,5,5,Darla,Verified Purchaser,5/13/2018,"Just the perfect size. I do not like big earrings. Love the movement of the crystal. Even my ""high-end"" friends were impressed.",127,"[(size, perfect, pos), (earrings, not like, neg), (love, crystal, pos)]"
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,6,5,Donna,Verified Purchaser,5/13/2018,They are even more gorgeous in person.  I love them!,52,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,7,5,Kate,Verified Purchaser,5/14/2018,Very cute but smaller than I thought.,37,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,8,5,Lori,Verified Purchaser,5/14/2018,Love them. I get. So many compliments on the earrings every day they’re beautiful,81,"[(earrings, compliments, pos)]"
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,9,3,Angela,Verified Purchaser,5/15/2018,Nice but small.,15,
11329,https://www.groupon.com/deals/gg-nina-and-grace-hoop-earrings-made-with-swarovski-crystal,10,4,Beth,Verified Purchaser,5/15/2018,Nice earrings.,14,"[(earrings, nice, pos)]"
611,https://www.groupon.com/deals/gg-bully-sticks,1,5,Linda,Verified Purchaser,4/24/2018,Great product.,14,"[(product, great, pos)]"
611,https://www.groupon.com/deals/gg-bully-sticks,2,5,sandra,Verified Purchaser,4/25/2018,excellent! thanks!,18,
611,https://www.groupon.com/deals/gg-bully-sticks,3,5,Jacqueline,Verified Purchaser,4/26/2018,Our dog Roo loves these!,24,
611,https://www.groupon.com/deals/gg-bully-sticks,4,3,Lynn,Verified Purchaser,4/26/2018,"Good, but a little pricey.",26,"[(pricey, little, neg)]"
